;text;fallacy
298;Bill says Jenny would make a good class president, but Bill gets bad grades, so we shouldnt vote for Jenny.;ad hominem
299;Kelly is the most selfish, annoying person that I know. She says that we should recycle to help save the Earth, but she only thinks about herself, so she must be wrong.;ad hominem
300;There's no way you know this - you're clearly too young to understand!;ad hominem
301;Don't listen to her advice about math. She doesn't even know how to tie her own shoes!;ad hominem
302;My opponent does not deserve to win the race for class president. She is a smoker and she cheated on her boyfriend last year;ad hominem
303;Mr. Gough supports the cell phone ban and he's an idiot, so we should let teachers keep their cell phones.;ad hominem
304;Teachers claim that cell phones distract students, but they only say that because teachers have no lives.;ad hominem
305;You're wrong because you're ugly!;ad hominem
306;"""My opponent suggests that lowering taxes will be a good idea, this is coming from a woman to eats a pint of Ben and Jerry's each night!""";ad hominem
307;I'm not surprised, frankly, that someone who gets lost in his own neighborhood would argue that New York has better pizza than Chicago.;ad hominem
308;My opponent in this election claims to have the best interests of our community at heart. However, he is separated from his family. Isn't family the basic unit of society? How can we entrust the concerns of the community to someone who was not able to keep his family together?;ad hominem
309;Leonardo DiCaprio is just a dumb actor! What does he really know about climate change?!;ad hominem
310;"""I can't understand how such a low performance student is able to talk about politics"".";ad hominem
311;Don't listen to her even though she's a doctor. She isn't a good person, so her opinion is invalid.;ad hominem
312;Mrs. Peters is nominated for teacher of the year, which is voted on by her fellow faculty members. A colleague says that she would never vote for her because she is too young.;ad hominem
313;Marco cusses a lot, so you can't listen to a thing he says. He's not a good guy.;ad hominem
314;Nobody in their right mind would trust that guy. I mean, look at him!;ad hominem
315;"""He wouldn't make a good president because he looks like a sad muppet.""";ad hominem
316;Green Peace's strategies aren't effective because they are all dirty, lazy hippies.;ad hominem
317;Senator Ribbit is a liar. You shouldn't listen to him on anything.;ad hominem
318;A politician arguing that his opponent cannot possibly be a good choice for women because he has been married and divorced five times.;ad hominem
319;You've never visited another country, so who cares what you say about immigration reform!;ad hominem
320;Of course Marx' theories about the ideal society are bunk. The guy spent all his time in the library.;ad hominem
321;I know you don't like the cat sweater that Grandma knitted for you, but she worked so hard on it, and it will make her happy to see you wear it in the family holiday photo.;appeal to emotion
322;We, the people, are going to work together to achieve justice, unity, and integrity.;appeal to emotion
323;A commercial about abandoned animals needing a shelter of a forever home. They ask for a small donation to help these struggling animals.;appeal to emotion
324;They are dangerous militants out to destroy our peaceful way of life.;appeal to emotion
325;A real estate ad shows a happy family moving in to the home of their dreams.;appeal to emotion
326;"""It is an outrage that the school wants to remove the vending machines. This is taking our freedom away!""";appeal to emotion
327;Don't you want the best for your baby?;appeal to emotion
328; You wouldn't want to let these children die, right?;appeal to emotion
329;"""You'll make the right decision because you have something that not many people do: you have heart.""?";appeal to emotion
330;We have a responsibility to care for this poor lost dog.;appeal to emotion
331;You should always eat everything on your plate, think of all the children in Africa who dont always have enough food.;appeal to emotion
332;If we don't control Covid-19, it could lead to millions of deaths. Wouldn't it make you sad to live in a country where that had happened?;appeal to emotion
333;A dog would be a great addition to our family. Think about how wonderful it would be to come home to a happy, excited, loving dog?;appeal to emotion
334;By rejecting God, you are rejecting goodness, kindness, and love itself.;appeal to emotion
335;You have to give me a passing grade. I spent 150 hours on that project and missed every party this quarter.;appeal to emotion
336;We should give the other applicant the job because he has a poor family and he needs to provide for them. It looks like he suffers a lot!;appeal to emotion
337;"""I should receive an 'A' in this class. I had a tough week!"" Hadi begged";appeal to emotion
338;"""Mrs Roth, I know I haven't done any of the assignments, but I need a C anyway because I'm asking nicely and I'm good person, and I'm going to get in trouble if you don't.""";appeal to emotion
339;Saying that you support a specific candidate for class president, only because he has recently been diagnosed with cancer is an example of which fallacy?;appeal to emotion
340;"""I know the exam is graded based on performance, but you should give me an A. My cat has been sick, my car broke down, and I've had a cold, so it was really hard for me to study!""";appeal to emotion
341;"""Sir, please let me take the exam. I was late because I need to cook our breakfast and wash the dishes.""";appeal to emotion
342;"""You cannot detain me. I am still grieving my cat's death.""";appeal to emotion
343;You really should support Senator Jones and his campaign to strengthen national defense. If you do not, he will lose control of the Armed Forces Committee and likely resign from politics.;appeal to emotion
344;Sometimes kids ride skateboards and fall off, breaking their arms or legs. Clearly, riding a skateboard is extremely dangerous. Don't you think skateboards should be banned?;appeal to emotion
345;Medical expenses for the elderly continue to rise. If you don't buy long-term health insurance now, you probably won't be able to qualify once you're older. Sure, the insurance policy is a little expensive, but it's worth spending the money today so you don't go bankrupt in the future, becoming a burden to your family.;appeal to emotion
346;If you don't buy the black pencils, you will get made fun of. You will not be chosen for group projects.;appeal to emotion
347;I am going into surgery tomorrow so please pray for me.  If enough people pray for me, God will protect me from harm and see to it that I have a successful surgery and speedy recovery.;appeal to emotion
348;"Maria has been working at her current job for more than 30 years at the same wage. She desperately wants a raise so she approaches her boss to ask for one. She says, ""You are one of the kindest people I know. You are smart and good-looking and I really love your shoes.""";appeal to emotion
349;If there is no freewill, then we are not ultimately in control of our actions. If this is true, our entire system of justice would be seriously flawed. This would be very bad therefore, freewill must exist.;appeal to emotion
350;If there is no objective morality, then all the bad people will not be punished for their bad behavior after death.  I dont like that therefore, morality must be objective.;appeal to emotion
351;"""To get better schools, we have to raise taxes. If we don't, we can't have better schools.""";false dilemma
352;The museum's new gemstones and precious minerals exhibit needs more security guards. If you don't agree, then you must be planning to steal a piece of the exhibit;false dilemma
353;Either you decide that you can afford this stereo, or decide not to have music for a while;false dilemma
354;Too much candy can cause cavities. You should avoid eating any candy unless you want cavities.;false dilemma
355;Either you can save your money to buy a new car for yourself, or you can just take an Uber around for the rest of your life.;false dilemma
356;Either you text your friend or you don't have any fun at all.;false dilemma
357;"""The only solutions I can see to climate change is either mass extinction of humans, or passing this green bill.""";false dilemma
358;Either you love bacon, or you're wrong.;false dilemma
359;If you don't say the Pledge of Allegiance, then you must be a traitor.;false dilemma
360;I'm raising funds to help cure XYZ disease. If you don't donate, then you're part of the problem.;false dilemma
361;People either like coffee or hate it.;false dilemma
362;Subscribe to our streaming services, or get stuck with cable!;false dilemma
363;Either you buy me this new book, or you decide that reading is not important at all.;false dilemma
364;You can buy the new Sensitivity perfume, or you can smell bad all day.;false dilemma
365;We either have to cut taxes or leave a huge debt for our children.;false dilemma
366;Vote for me or live through four more years of higher taxes.;false dilemma
367;You can look cool in our clothes, or you can look like a loser.;false dilemma
368;Either we go to war, or we appear weak;false dilemma
369;Either you love me, or you hate me.;false dilemma
370;Dad, either you let me go to the party or you're a bad dad.;false dilemma
371;If Mom didn't turn off the air conditioner, then clearly she must be too hot.;false dilemma
372;All of my friends are coming to my birthday party. If Micah doesn't, she might as well tell me that she doesn't like me.;false dilemma
373;Politician: We have to decide if we are going to support school choice or if we are going to support failing schools. Those are the only two options.;false dilemma
374;I thought you cared about other people, but I didn't see you at the fundraiser for the Children's Hospital ...;false dilemma
375;You're with us or you're against us.;false dilemma
376;Either go to the party or spend the night in your room crying.;false dilemma
377;You can be a good politician and play dirty or you can drop out.;false dilemma
378;You either support Hillary Clinton for President or you dont believe in womens rights.;false dilemma
379;You can go to bed in 5 minutes or you can go to bed in ten minutes. What's your choice?;false dilemma
380;We can either agree with Barbara's plan or just let the project fail. There is no other option.;false dilemma
381;Mayor Kerr wants to create more bicycle lanes in Greenpoint. Why is he forcing us to give up our cars and bike everywhere?;straw man
382;"""Senator Jones says that we should not fund the attack submarine program. I disagree entirely. I can't understand why he wants to leave us defenseless like that.""";straw man
383;Why are you criticizing the Anti-Terror Law? Are you a terrorist?;straw man
384;"You tell a person, ""I think we should all stay inside to bend the curve of COVID-19"" and they reply, ""so I guess you want people to lose their jobs then?""";straw man
385;"Wife: I'd rather have a dog than a cat. Husband: Why do you hate cats?""";straw man
386;My opponent in the election keeps claiming that he wants to give tax credits to poor people. That means that he wants to raise taxes for the middle class.;straw man
387;Senator Li announced today that she plans to cut funding to early childhood education programs. The last thing we need is a government official who hates children!;straw man
388;My opponent argues that we should abolish the soda tax. It's a shame that he wants to encourage people to eat and drink unhealthily. I say we keep it.;straw man
389;The mayor argued that we need to reduce funding for the animal shelter in order to balance the budget. Don't vote for someone who doesn't think the government should care about animals.;straw man
390;Ms. Long has suggested that our schools let students take statistics instead of algebra to graduate. Frankly, it is puzzling to me that she thinks algebra is a useless subject.;straw man
391;Caroline says that she thinks her friends should not be so rude to the new girl. Jenna says that she cannot believe that Caroline is choosing to be better friends with the new girl than the girls who have always known her.;straw man
392;"""People who don't support the proposed state minimum wage increase hate the poor.""";straw man
393;If we take away farmers' ability to grow genetically engineered crops, if we eliminate that option, people will go hungry, in fact, people will starve. Unlike my opponent, I choose to use the technology available to us and save lives.;straw man
394;After Will said that we should put more money into health and education, Warren responded by saying that he was surprised that Will hates our country so much that he wants to leave it defenseless by cutting military spending.;straw man
395;Students tell Ms. Higgins her hair color looks different on her. Ms. Higgins can't believe her students called her ugly and horrendous to look at.;straw man
396;"You see someone walking their dog. The dog goes to the bathroom on a lawn but they dont pick up after their dog. You ask them to clean up after their dog, but they say, ""why do you hate dogs?""";straw man
397;"The student didn't want to participate in the beach cleanup. Later, the student's advisor says ""I can't believe she doesn't believe in climate change"".";straw man
398;"Advocates for a tight virus response say ""we need to limit the spread."" What they're really saying is we need to shut down everything forever, leading to massive economic damage.";straw man
399;"""She teaches engineering, and she said that the proposed bridge was a waste of money. I can't believe she hates our city so much.""";straw man
400;What I object to most about those people who oppose capital punishment is that they believe that the lives of convicted murderers are more important than the lives of the police and prison guards who protect us. But, obviously, since the lives of those who protect us are of the greatest value, no one should oppose capital punishment.;straw man
401;"""Advocates of legalized abortion predicted it would solve our social problems. Instead, this destruction of one-fourth of a generation has left a more violent society in its wake: Child abuse has exploded, from 167,000 estimated cases in 1973 to 2.4 million in 1989, according to the National Center of Child Abuse and Neglect - a 1,400% increase. Teen suicide, among non-aborted and thus presumably ""wanted"" children, has doubled. Violent crime has more than doubled.""";straw man
402;Feminists want to ban all pornography and punish everyone who looks at it! But such harsh measures are surely inappropriate.;straw man
403;Al Gore's support of the discussion of sexual orientation issues on Ellen is  dangerous:  he advocates the exposure of children to sexually explicit materials,  which is wrong.;straw man
404;Recent auto accidents in your neighborhood have led you to propose to the city council that the speed limit along Main Street be reduced to calm the traffic flow. Opponents complain that reducing speed limits all over town is counterproductive and an unnecessary burden on drivers.;straw man
405;"If the argument is supposed to be about whether or not we, as the American public should wear masks, and you argue: ""Asking an infant to wear a mask is ridiculous!""";straw man
406;Mr. Stark's idea for implementing affirmative action in the university's admission process is complete folly. He say's he wants the student body to represent diversity in the community. But that's ridiculous. I suppose this means we'll have to throw out our academic standards while were at it. After all, if we're going to let students into our prestigious institution just because of their gender or the color of their skin, then what's going to happen to our reputation?;straw man
407;Pamela is the class secretary. She says that she thinks that the class should do more service projects. Mark says he cant believe Pamela doesnt support the annual school dance.;straw man
408;Student tells his professor that he thinks some of Donald Trump's positions have merit. Professor says he can't believe that the student believes in support racism.;straw man
409;The secretary claims that mining is doing more harm than good to the environment and to the people. The pro-mining politicians accused her of being anti-poor who values the life of a tree more than the life of miners whose only source of income is mining.;straw man
410;Many democrats don't want a border wall with Mexico, which means they don't want to keep Americans safe;straw man
411;"You ask your mother if you can go to the mall with your friends. She says ""no"". You ask why? She says, ""because I'm the mom and I say so"".";appeal to authority
412;Famous actors like Alex Gonzaga and Philip Salvador support Oplan Tokhang, so it must be an effective operation.;appeal to authority
413;We should move to the Midwest because Mujtaba from the Wall Street Journal says the cost of living is cheaper there.;appeal to authority
414;Since Dwayne Johnson (aka The Rock) endorsed this protein powder, it must work wonders.;appeal to authority
415;Richard Dawkins, an evolutionary biologist and perhaps the foremost expert in the field, says that evolution is true. Therefore, I believe it's true.;appeal to authority
416;"""Stephen Hawking in the smartest scientist on the planet, so if he says global warming is real, it must be true!""";appeal to authority
417;Police officers agree that Blackjack Steering Wheel Locks are the most effective deterrent against car theft.;appeal to authority
418;A book argues that global warming is not actually happening, and cites the research of one environmental scientist who has been studying climate change for several years.;appeal to authority
419;A little boy says that his friends should not go swimming in a river because his Mama said there were germs in the river.;appeal to authority
420;My sister-in-law, who is a teacher, said that this school is not somewhere that I would want to send my children.;appeal to authority
421;Look, it doesn't matter whether or not you think America should build a wall on the border. The President thinks America should do it, so it's a good idea.;appeal to authority
422;Ms. Drayer, the smartest person in the universe, says the debate is the best class, therefore it is.;appeal to authority
423;An ad claims that 3 out of 4 real estate agents reccommend moving to Sunnyville, California.;appeal to authority
424;"""If my years as a Marine taught me anything, it's that caution is the best policy in this sort of situation.""";appeal to authority
425;"""You know me - I've taught Sunday School at your church for years, babysat your children, and served as a playground director for many summers - so you know I can run your preschool.""";appeal to authority
426;"""Dr. Vicky Belo said that all kind of cars need fuel to start.""";appeal to authority
427;I have served over 20 years in the military, and based on my professional opinion, I believe more money needs to be spent on protective armor and military vehicles.;appeal to authority
428;As a police officer who has worked for the city for 15 years, I have been a witness to distracted drivers and something needs to be done.;appeal to authority
429;My friend said that if you sneeze more than three times, you have the corona virus.;appeal to authority
430;Despite the fact that our Q4 numbers are much lower than usual, we should push forward using the same strategy because our CEO Barbara says this is the best approach.;appeal to authority
431;Dr. McKenzie said all kids can fly, so it must be true!;appeal to authority
432;Not able to defend his position that evolution 'isn't true' Bob says that he knows a scientist who also questions evolution (and presumably isn't a primate).;appeal to authority
433;My professor, who has a Ph.D. in Astronomy, once told me that ghosts are real. Therefore, ghosts are real.;appeal to authority
434;You should eat more green leafy vegetables, because Ms. Lord says so, and she is an expert on grammar and vocabulary.;appeal to authority
435;My cousin Bob works as a mechanic at Oil Changers and he says that renewable energy sources, such as solar and wind power, aren't going to provide any help in fixing our nation's energy crisis.;appeal to authority
436;The owner of the car dealership by my house told me I need a new car, and he would know since he works in the industry.;appeal to authority
437;I think scientists are wrong. There is no such thing as global warming. I just finished talking to my boss, and he thought the idea was ridiculous.;appeal to authority
438;"""My best friend tweeted about the health benefits of pizza, and so we're going to out to eat two vegetable pizzas tonight.""";appeal to authority
439;U.S. Sen. Tom Coburn says that lesbianism is rampant in the Oklahoma schools. This must, indeed, be true, because surely the senator couldn't be mistaken about the schools in his own state.;appeal to authority
440;3 out of 4 real estate agents reccommend moving to Sunnyville, California.;appeal to authority
441;Nikolaj Coster-Waldau worked with the Fox Broadcasting Company.;none
442;Roman Atwood is a content creator.;none
443;History of art includes architecture, dance, sculpture, music, painting, poetry literature, theatre, narrative, film, photography and graphic arts.;none
444;Homeland is an American television spy thriller based on the Israeli television series Prisoners of War.;none
445;The Boston Celtics play their home games at TD Garden.;none
446;The Ten Commandments is an epic film.;none
447;Tetris has sold millions of physical copies.;none
448;Cyndi Lauper won the Best New Artist award at the 27th Grammy Awards in 1985.;none
449;There is a movie called The Hunger Games.;none
450;Ryan Gosling has been to a country in Africa.;none
451;Ryan Seacrest is a person.;none
452;Michael Giacchino composed the score for Doctor Strange.;none
453;Robert J. O'Neill was born April 10, 1976.;none
454;The Silence of the Lambs was a film starring Scott Glenn.;none
455;Tupac Shakur was born Lesane Parish Crooks.;none
456;The Jim Henson Company produced The Muppet Movie, The Dark Crystal, and Labyrinth.;none
457;Slovenia uses the euro.;none
458;Iowa is a part of the Midwestern United States.;none
459;Saratoga is an American film from 1937.;none
460;J. Howard Marshall was a baby.;none
461;Lisbon has a population larger than 1.;none
462;One state of the United States has Russia to its west.;none
463;Sophie Turner was born in the 1990s.;none
464;Mother Teresa was made a saint by the church.;none
465;The Smurfs (film) was released.;none
466;Berlin is the capital of Germany.;none
467;South Korea has a highly educated workforce.;none
468;Nicholas Brody is a character on Homeland.;none
469;CBS is the network that aired The Millers.;none
470;Ann Richards was professionally involved in politics.;none
